seed,outcome,model,variant,acc_mean,acc_std,f1_mean,f1_std,auc_mean
2,is_terminated,XGB,with,0.8623333333333333,0.0059254629448770675,0.8367316479494555,0.008358936613921668,0.8529252396480589
2,PerfScore,LR,without,0.278,0.022642143596988917,0.3576930283521073,0.023136830773069956,
2,PerfScore,LR,with,0.3083333333333333,0.016431676725154994,0.38757716366772127,0.019860998320798448,
2,PerfScore,RF,without,0.7416666666666667,0.012064640713902577,0.6883682260110162,0.008481886312275106,
2,PerfScore,RF,with,0.7403333333333333,0.0071802197428460154,0.6931669795335254,0.0016393268635210676,
2,PayZone_encoded,LR,without,0.31499999999999995,0.009249624617007736,0.31039370455573706,0.011458869900152609,
2,PayZone_encoded,LR,with,0.30333333333333334,0.01873795909674027,0.30062809634129756,0.01792455731040622,
2,PayZone_encoded,RF,without,0.32133333333333336,0.021587033144922902,0.32003468333374335,0.021624550771443384,
2,PayZone_encoded,RF,with,0.324,0.019961073228773156,0.323114046892025,0.019767112656379694,
2,PayZone_encoded,XGB,without,0.3163333333333333,0.008393118874676102,0.3139557228352511,0.008341847041359412,
2,PayZone_encoded,XGB,with,0.31100000000000005,0.012364824660660932,0.30896698316328053,0.012699915540699049,
2,SeniorityLevel,LR,without,0.8186666666666665,0.017993826101687732,0.8800691235305219,0.009656739332332825,
2,SeniorityLevel,LR,with,0.8516666666666668,0.015238839267549964,0.8932882070375582,0.00986057984394025,
2,SeniorityLevel,RF,without,0.9453333333333334,0.006446359868604559,0.9389806531377047,0.006112159678313671,
2,SeniorityLevel,RF,with,0.9666666666666666,0.007226494462892916,0.9663249324121738,0.007255075350618046,
2,is_minority_dept,LR,without,0.5043333333333333,0.025311394008759487,0.5029348624736099,0.029456916656339174,0.5436551305403764
2,is_minority_dept,LR,with,0.544,0.01848723283181607,0.5471527233381537,0.017372394523463706,0.551765447667087
2,is_minority_dept,RF,without,0.5856666666666668,0.009809292646374753,0.5732046034406115,0.010208517279553641,0.5625087571808883
2,is_minority_dept,RF,with,0.5890000000000001,0.011860297916438138,0.5785450791429344,0.009828200074473669,0.574021530988744
2,is_minority_dept,XGB,without,0.6126666666666667,0.011430952132988136,0.5898291411773062,0.014007783501326984,0.5842756059969174
2,is_minority_dept,XGB,with,0.6236666666666666,0.028350974899953245,0.5977975915836387,0.03214404845745436,0.604601606650787
3,is_terminated,LR,without,0.718,0.012970050972229129,0.7629698115246673,0.010870428613399893,0.8008767943923216
3,is_terminated,LR,with,0.6933333333333334,0.01354006400772659,0.7436726023621857,0.011118833499112397,0.8173093962439252
3,is_terminated,RF,without,0.8540000000000001,0.005011098792790976,0.8243231733842528,0.009617914862190652,0.8305017225387108
3,is_terminated,RF,with,0.8526666666666667,0.006110100926607796,0.8284807526023095,0.010650858786377108,0.84247497330012
3,is_terminated,XGB,without,0.8583333333333334,0.008628119403696495,0.8287652234823435,0.011065397908672139,0.8409173999996181
3,is_terminated,XGB,with,0.8616666666666666,0.007673909622147558,0.8348032856633207,0.005258475645866835,0.8509395252142665
3,PerfScore,LR,without,0.27666666666666667,0.01135292424395093,0.35833440955228024,0.01646679944576125,
3,PerfScore,LR,with,0.30533333333333335,0.00740870359029762,0.3842442332964184,0.008983066323384156,
3,PerfScore,RF,without,0.7383333333333333,0.016996731711975948,0.6851083588865244,0.014311780029204184,
3,PerfScore,RF,with,0.734,0.01103529690483123,0.6845692960394067,0.008946892344652943,
3,PayZone_encoded,LR,without,0.313,0.012445436468396314,0.3099161385778526,0.013588088595618615,
3,PayZone_encoded,LR,with,0.316,0.020537229067665808,0.31424417564457946,0.020775601665707695,
3,PayZone_encoded,RF,without,0.327,0.021969676071045437,0.32595436683191253,0.02240780187249879,
3,PayZone_encoded,RF,with,0.33366666666666667,0.025699113689861847,0.3327584666408528,0.02563973386085475,
3,PayZone_encoded,XGB,without,0.31533333333333335,0.007702813338860876,0.3142721011166523,0.00808183525046495,
3,PayZone_encoded,XGB,with,0.313,0.01839081896551163,0.31176276845398704,0.019165002151391795,
3,SeniorityLevel,LR,without,0.8093333333333333,0.019223827807061628,0.8747548561059773,0.012160068199154458,
3,SeniorityLevel,LR,with,0.8593333333333334,0.009043106644167007,0.8997994399600089,0.00490284315454544,
3,SeniorityLevel,RF,without,0.9460000000000001,0.0022607766610417556,0.9391506609148055,0.0021177583017603723,
3,SeniorityLevel,RF,with,0.9650000000000001,0.0014907119849998445,0.9646601424394448,0.001586946398717982,
